system:index,AvGTemp,AvGppt,CWD,Conifer2019,ConiferProb2019,NLCD2016,SAP_SC,SAP_burn,SUID,SolarLoad,aspect,burnSev,eastness,elevation,forestType,landfire2016,latitude_209564535,longitude_209564535,northness,plantedEver,plantedFirst6Yrs,slope,wilderness,.geo
57,12.44874954,1235.050011,602.7800293,1,99,52,0.03797468354,0.3019891501,5.06E+17,138,318.4501751,4,-0.6632710957,916,551,7043,,,0.7483792178,1,0,24.42941107,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27599503998798,41.217916179327]}"
58,12.44874954,1235.050011,609.2932739,1,96,42,0.0452079566,0.3128390597,5.06E+17,134,317.7102295,3,-0.6728804503,921,552,7043,,,0.7397512417,1,0,22.57615947,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27563715110126,41.217917036514415]}"
59,12.44874954,1235.050011,580.5632935,0,36,42,0.01627486438,0.1320072333,5.06E+17,76,337.3239521,4,-0.3855203474,803,551,7028,,,0.9226993344,1,1,31.55148444,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28064874922475,41.21817516834171]}"
60,12.44874954,1235.050011,580.5632935,1,99,42,0.01627486438,0.1482820976,5.06E+17,76,344.7462454,4,-0.263094437,811,551,7043,,,0.9647700852,1,0,33.19980051,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28029085906766,41.218176039996365]}"
61,12.44874954,1235.050011,580.5632935,0,42,42,0.01627486438,0.1627486438,5.06E+17,66,352.033816,4,-0.1385886209,811,551,7043,,,0.9903500362,1,0,31.84562139,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27993296889491,41.21817691053877]}"
62,12.44874954,1235.050011,580.5632935,0,42,42,0.01627486438,0.1754068716,5.06E+17,66,358.2693856,4,-0.03020032651,817,551,7043,,,0.9995438661,1,0,35.47317619,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27957507870647,41.218177779968954]}"
63,12.44874954,1235.050011,580.5632935,0,39,42,0.01627486438,0.1952983725,5.06E+17,144,8.049825592,3,0.1400342058,816,551,7043,,,0.9901466665,1,0,37.53854893,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27921718850233,41.218178648286866]}"
64,12.44874954,1235.050011,586.2033081,0,39.99999619,42,0.01808318264,0.2115732369,5.06E+17,144,1.730614388,3,0.03020032651,812,551,7043,,,0.9995438661,1,0,35.47317619,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27885929828258,41.21817951549257]}"
65,12.44874954,1235.050011,586.2033081,0,39.99999619,42,0.01808318264,0.2278481013,5.06E+17,144,348.4409242,4,-0.2003781962,815,551,7028,,,0.9797186221,1,0,32.79741694,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27850140804719,41.218180381586]}"
66,12.44874954,1235.050011,586.2033081,0,42,42,0.01808318264,0.2459312839,5.06E+17,155,326.3876012,4,-0.5535717801,824,559,7043,,,0.8328014675,1,0,30.24782621,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27814351779617,41.218181246567205]}"
67,12.44874954,1235.050011,586.2033081,1,83,42,0.01808318264,0.2549728752,5.06E+17,155,317.9945798,4,-0.6692009049,833,559,7043,,,0.7430815224,1,0,34.03210678,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27778562752958,41.21818211043618]}"
68,12.44874954,1235.050011,586.2033081,1,83,42,0.02169981917,0.2658227848,5.06E+17,115,307.9211525,4,-0.7888572488,845,559,7028,,,0.6145764729,1,0,37.37446575,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27742773724742,41.218182973192896]}"
69,12.44874954,1235.050011,586.2033081,1,98,42,0.02712477396,0.2766726944,5.06E+17,115,305.9176094,4,-0.8098613856,875,559,7028,,,0.5866212885,1,0,35.65823144,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2770698469497,41.21818383483738]}"
70,12.44874954,1235.050011,586.2033081,1,100,42,0.03254972875,0.2784810127,5.06E+17,104,313.7518836,4,-0.7223412287,888,559,7043,,,0.6915368026,1,0,33.24224529,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27671195663649,41.218184695369615]}"
71,12.44874954,1235.050011,586.2033081,1,100,42,0.03797468354,0.287522604,5.06E+17,104,320.0692293,4,-0.641861545,897,552,7043,,,0.7668205508,1,0,29.68213034,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27635406630772,41.21818555478961]}"
72,12.44874954,1235.050011,586.2033081,0,80,42,0.04701627486,0.2983725136,5.06E+17,104,320.0692293,4,-0.641861545,905,552,7043,,,0.7668205508,1,0,29.68213034,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27599617596351,41.218186413097364]}"
73,12.44874954,1235.050011,604.6099854,1,100,42,0.05605786618,0.3092224231,5.06E+17,117,317.7102295,4,-0.6728804503,921,551,7043,,,0.7397512417,1,0,22.57615947,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2756382856038,41.21818727029287]}"
74,12.44874954,1235.050011,604.6099854,1,100,42,0.0650994575,0.3182640145,5.06E+17,117,317.5734132,4,-0.6746449781,927,551,7043,,,0.7381423667,1,0,19.33529294,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27528039522863,41.218188126376134]}"
75,12.44874954,1235.050011,604.6099854,1,99,42,0.07414104882,0.3236889693,5.06E+17,146,328.4676036,4,-0.5229805843,932,551,7043,,,0.8523445949,1,0,13.86877173,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27492250483807,41.21818898134717]}"
76,12.44874954,1235.050011,580.5632935,1,100,42,0.01627486438,0.1211573237,5.06E+17,76,342.0801418,4,-0.3076864134,792,551,7028,,,0.9514878197,1,0,32.18980819,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28029201273489,41.21844627365594]}"
77,12.44874954,1235.050011,580.5632935,0,41.00000381,42,0.01627486438,0.1374321881,5.06E+17,66,346.4114523,4,-0.2349478323,796,551,7027,,,0.9720079815,1,0,28.79232797,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27993412108911,41.21844714420657]}"
78,12.44874954,1235.050011,580.5632935,0,41.00000381,42,0.01627486438,0.1518987342,5.06E+17,66,6.152234129,4,0.1071705227,796,551,7043,,,0.9942406545,1,0,31.06547614,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27957622942765,41.218448013644974]}"
79,12.44874954,1235.050011,580.5632935,0,39,42,0.01627486438,0.1681735986,5.06E+17,144,9.672505639,4,0.1680163535,795,551,7043,,,0.9857842081,1,0,32.6366055,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2792183377505,41.218448881971106]}"
80,12.44874954,1235.050011,586.2033081,0,37,42,0.01808318264,0.1862567812,5.06E+17,144,0,4,0,791,551,7043,,,1,1,0,29.53467529,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2788604460577,41.21844974918499]}"
81,12.44874954,1235.050011,586.2033081,0,37,42,0.01808318264,0.2061482821,5.06E+17,144,337.3238656,4,-0.3855217413,795,551,7043,,,0.922698752,1,0,31.55150057,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2785025543493,41.21845061528662]}"
82,12.44874954,1235.050011,586.2033081,0,39,42,0.01808318264,0.2278481013,5.06E+17,155,316.2531313,3,-0.6914735762,810,559,7043,,,0.7224017534,1,0,29.25783909,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2781446626253,41.218451480276]}"
83,12.44874954,1235.050011,586.2033081,1,100,42,0.0198915009,0.2423146474,5.06E+17,155,302.0809977,4,-0.8472981146,820,559,7043,,,0.5311175999,1,0,31.36539365,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27778677088568,41.21845234415313]}"
84,12.44874954,1235.050011,586.2033081,1,100,42,0.0253164557,0.2549728752,5.06E+17,115,297.040867,4,-0.8906824829,834,559,7043,,,0.4546259063,1,0,34.0794941,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27742887913048,41.218453206918014]}"
85,12.44874954,1235.050011,586.2033081,1,100,42,0.03074141049,0.26039783,5.06E+17,115,309.1761704,4,-0.775207286,861,559,7043,,,0.6317069445,1,0,33.67399436,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27707098735978,41.21845406857064]}"
86,12.44874954,1235.050011,586.2033081,1,100,42,0.03978300181,0.2676311031,5.06E+17,104,317.0587929,4,-0.6812475378,872,559,7043,,,0.7320531348,1,0,33.55970146,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2767130955735,41.218454929111005]}"
87,12.44874954,1235.050011,586.2033081,1,100,42,0.04701627486,0.2820976492,5.06E+17,104,321.0912053,4,-0.6280825078,882,559,7043,,,0.7781467492,1,0,30.22009055,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27635520377176,41.218455788539124]}"
88,12.44874954,1235.050011,586.2033081,0,78,42,0.05786618445,0.2983725136,5.06E+17,104,320.4718729,4,-0.6364569417,889,552,7043,,,0.7713122334,1,0,31.32603401,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27599731195448,41.218456646854996]}"
89,12.44874954,1235.050011,604.6099854,1,100,42,0.06871609403,0.3074141049,5.06E+17,117,319.4817647,4,-0.6496900267,911,552,7043,,,0.76019923,1,0,30.80488701,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2756394201218,41.21845750405861]}"
90,12.44874954,1235.050011,604.6099854,1,100,42,0.07956600362,0.3236889693,5.06E+17,117,323.3330985,4,-0.5971618797,918,551,7043,,,0.8021207449,1,0,26.77233096,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27528152827362,41.21845836014997]}"
91,12.44874954,1235.050011,604.6099854,1,100,42,0.08860759494,0.3309222423,5.06E+17,146,331.0167183,4,-0.4845543951,925,551,7043,,,0.8747611321,1,0,23.94737887,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27492363641001,41.21845921512908]}"
92,12.44874954,1235.050011,580.5632935,1,100,42,0.01627486438,0.09945750452,5.06E+17,76,342.1365665,4,-0.3067492415,774,551,7027,,,0.9517903671,1,1,29.30350615,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28029316641785,41.218716507302744]}"
93,12.44874954,1235.050011,580.5632935,1,100,42,0.01627486438,0.1121157324,5.06E+17,66,347.8341645,3,-0.2107419419,778,551,7043,,,0.97754173,1,0,31.49612959,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27993527329897,41.218717377861616]}"
94,12.44874954,1235.050011,580.5632935,1,100,42,0.01627486438,0.1265822785,5.06E+17,66,6.500888607,4,0.1132186232,780,551,7043,,,0.9935700999,1,0,29.6934553,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2795773801645,41.21871824730822]}"
95,12.44874954,1235.050011,580.5632935,0,33.99999619,42,0.01808318264,0.1428571429,5.06E+17,144,7.104382166,4,0.1236773731,777,551,7028,,,0.9923224815,1,0,27.56529971,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27921948701433,41.21871911564256]}"
