system:index,AvGTemp,AvGppt,CWD,Conifer2019,ConiferProb2019,NLCD2016,SAP_SC,SAP_burn,SUID,SolarLoad,aspect,burnSev,eastness,elevation,forestType,landfire2016,latitude_209564535,longitude_209564535,northness,plantedEver,plantedFirst6Yrs,slope,wilderness,.geo
34,12.44875,1235.05,595.5133,0.0,62.0,42.0,0.016274864,0.238698,5.05544348E17,89.0,14.88943,4.0,0.25695452,858.0,551.0,7043.0,,,0.9664235,1.0,0.0,30.381237,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27921489005297,41.2176381808802]}"
35,12.44875,1235.05,602.78,0.0,39.999996,42.0,0.016274864,0.2567812,5.05544348E17,89.0,14.209855,4.0,0.24547413,835.0,551.0,7043.0,,,0.96940315,1.0,0.0,35.04372,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27885700277918,41.21763904806949]}"
36,12.44875,1235.05,602.78,0.0,39.999996,42.0,0.016274864,0.278481,5.05544348E17,89.0,356.28958,4.0,-0.06471358,834.0,551.0,7043.0,,,0.9979039,1.0,0.0,33.62759,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27849911548975,41.21763991414657]}"
37,12.44875,1235.05,602.78,1.0,81.0,42.0,0.018083183,0.2875226,5.05544348E17,116.0,331.30344,3.0,-0.480171,840.0,551.0,7028.0,,,0.8771749,1.0,0.0,32.106255,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27814122818471,41.217640779111406]}"
38,12.44875,1235.05,602.78,0.0,66.0,42.0,0.018083183,0.28933093,5.05544348E17,116.0,316.3031,4.0,-0.6908432,851.0,551.0,7043.0,,,0.7230046,1.0,0.0,35.620335,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27778334086409,41.217641642964054]}"
39,12.44875,1235.05,602.78,0.0,66.0,42.0,0.018083183,0.2965642,5.05544348E17,131.0,314.1749,4.0,-0.7172161,863.0,551.0,7043.0,,,0.69685084,1.0,0.0,35.758667,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27742545352793,41.21764250570446]}"
40,12.44875,1235.05,602.78,1.0,98.0,42.0,0.018083183,0.30198914,5.05544348E17,131.0,305.8339,4.0,-0.81071776,887.0,552.0,7043.0,,,0.5854372,1.0,0.0,33.56896,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27706756617619,41.21764336733265]}"
41,12.44875,1235.05,602.78,1.0,99.0,42.0,0.02169982,0.31103075,5.05544348E17,138.0,304.36542,4.0,-0.8254545,900.0,551.0,7043.0,,,0.5644687,1.0,0.0,29.836763,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27670967880893,41.21764422784862]}"
42,12.44875,1235.05,602.78,1.0,99.0,52.0,0.027124774,0.3074141,5.05544348E17,138.0,313.23654,4.0,-0.728532,909.0,551.0,7027.0,,,0.68501174,1.0,0.0,25.296707,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27635179142617,41.21764508725238]}"
43,12.44875,1235.05,602.78,0.0,6.999999,52.0,0.032549728,0.3074141,5.05544348E17,138.0,318.45016,4.0,-0.66327107,916.0,551.0,7027.0,,,0.74837923,1.0,0.0,24.42941,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27599390402791,41.2176459455439]}"
44,12.44875,1235.05,580.5633,1.0,100.0,42.0,0.0144665465,0.15370706,5.05544348E17,110.0,330.7619,4.0,-0.48843977,822.0,551.0,7043.0,,,0.87259763,1.0,0.0,35.181816,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28064759410024,41.217904934677634]}"
45,12.44875,1235.05,580.5633,1.0,100.0,42.0,0.016274864,0.1681736,5.05544348E17,110.0,337.75293,4.0,-0.37860104,831.0,551.0,7043.0,,,0.92555994,1.0,0.0,34.29784,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28028970541618,41.217905806324055]}"
46,12.44875,1235.05,580.5633,1.0,85.0,42.0,0.016274864,0.18264015,5.05544348E17,74.0,345.71765,4.0,-0.24670057,834.0,551.0,7043.0,,,0.9690918,1.0,0.0,38.13514,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27993181671641,41.21790667685824]}"
47,12.44875,1235.05,580.5633,1.0,85.0,42.0,0.016274864,0.20072332,5.05544348E17,74.0,356.54193,4.0,-0.060317934,840.0,551.0,7043.0,,,0.9981792,1.0,0.0,35.510178,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27957392800096,41.21790754628019]}"
48,12.44875,1235.05,580.5633,0.0,37.0,42.0,0.016274864,0.2188065,5.05544348E17,89.0,8.993252,4.0,0.15631813,842.0,551.0,7043.0,,,0.9877068,1.0,0.0,34.54152,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27921603926985,41.21790841458992]}"
49,12.44875,1235.05,586.2033,0.0,38.0,42.0,0.016274864,0.23688969,5.05544348E17,89.0,14.209855,4.0,0.24547413,835.0,551.0,7043.0,,,0.96940315,1.0,0.0,35.04372,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27885815052306,41.217909281787406]}"
50,12.44875,1235.05,586.2033,0.0,38.0,42.0,0.018083183,0.25497288,5.05544348E17,89.0,356.28958,4.0,-0.06471358,834.0,551.0,7028.0,,,0.9979039,1.0,0.0,33.62759,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27850026176066,41.21791014787267]}"
51,12.44875,1235.05,586.2033,0.0,45.0,42.0,0.018083183,0.26401445,5.05544348E17,116.0,331.30344,4.0,-0.480171,840.0,559.0,7028.0,,,0.8771749,1.0,0.0,32.106255,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27814237298264,41.21791101284569]}"
52,12.44875,1235.05,586.2033,0.0,61.0,42.0,0.018083183,0.27305606,5.05544348E17,116.0,316.3031,4.0,-0.6908432,851.0,559.0,7043.0,,,0.7230046,1.0,0.0,35.620335,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27778448418904,41.21791187670649]}"
53,12.44875,1235.05,586.2033,0.0,61.0,42.0,0.018083183,0.278481,5.05544348E17,131.0,314.1749,4.0,-0.7172161,863.0,559.0,7043.0,,,0.69685084,1.0,0.0,35.758667,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27742659537991,41.217912739455045]}"
54,12.44875,1235.05,586.2033,1.0,99.0,42.0,0.02169982,0.29113925,5.05544348E17,131.0,305.8339,4.0,-0.81071776,887.0,559.0,7043.0,,,0.5854372,1.0,0.0,33.56896,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27706870655518,41.21791360109138]}"
55,12.44875,1235.05,586.2033,1.0,98.0,42.0,0.027124774,0.2965642,5.05544348E17,138.0,304.36542,4.0,-0.8254545,900.0,559.0,7043.0,,,0.5644687,1.0,0.0,29.836763,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27671081771497,41.21791446161549]}"
56,12.44875,1235.05,602.78,1.0,98.0,42.0,0.032549728,0.29294756,5.05544348E17,138.0,313.23654,4.0,-0.728532,909.0,552.0,7043.0,,,0.68501174,1.0,0.0,25.296707,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27635292885918,41.21791532102736]}"
57,12.44875,1235.05,602.78,1.0,99.0,52.0,0.03797468,0.30198914,5.05544348E17,138.0,318.45016,4.0,-0.66327107,916.0,551.0,7043.0,,,0.74837923,1.0,0.0,24.42941,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27599503998798,41.217916179327]}"
58,12.44875,1235.05,609.2933,1.0,96.0,42.0,0.045207955,0.31283906,5.05544348E17,134.0,317.71024,3.0,-0.6728805,921.0,552.0,7043.0,,,0.7397512,1.0,0.0,22.576159,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27563715110126,41.217917036514415]}"
59,12.44875,1235.05,580.5633,0.0,36.0,42.0,0.016274864,0.13200723,5.05544348E17,76.0,337.32394,4.0,-0.38552034,803.0,551.0,7028.0,,,0.92269933,1.0,1.0,31.551485,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28064874922475,41.21817516834171]}"
60,12.44875,1235.05,580.5633,1.0,99.0,42.0,0.016274864,0.1482821,5.05544348E17,76.0,344.74625,4.0,-0.26309443,811.0,551.0,7043.0,,,0.9647701,1.0,0.0,33.199802,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28029085906766,41.218176039996365]}"
61,12.44875,1235.05,580.5633,0.0,42.0,42.0,0.016274864,0.16274865,5.05544348E17,66.0,352.0338,4.0,-0.13858862,811.0,551.0,7043.0,,,0.99035,1.0,0.0,31.845621,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27993296889491,41.21817691053877]}"
62,12.44875,1235.05,580.5633,0.0,42.0,42.0,0.016274864,0.17540687,5.05544348E17,66.0,358.26938,4.0,-0.030200327,817.0,551.0,7043.0,,,0.99954385,1.0,0.0,35.473175,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27957507870647,41.218177779968954]}"
63,12.44875,1235.05,580.5633,0.0,39.0,42.0,0.016274864,0.19529837,5.05544348E17,144.0,8.049826,3.0,0.1400342,816.0,551.0,7043.0,,,0.99014664,1.0,0.0,37.538548,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27921718850233,41.218178648286866]}"
64,12.44875,1235.05,586.2033,0.0,39.999996,42.0,0.018083183,0.21157324,5.05544348E17,144.0,1.7306144,3.0,0.030200327,812.0,551.0,7043.0,,,0.99954385,1.0,0.0,35.473175,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27885929828258,41.21817951549257]}"
65,12.44875,1235.05,586.2033,0.0,39.999996,42.0,0.018083183,0.2278481,5.05544348E17,144.0,348.44092,4.0,-0.2003782,815.0,551.0,7028.0,,,0.9797186,1.0,0.0,32.797417,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27850140804719,41.218180381586]}"
66,12.44875,1235.05,586.2033,0.0,42.0,42.0,0.018083183,0.24593128,5.05544348E17,155.0,326.3876,4.0,-0.55357176,824.0,559.0,7043.0,,,0.83280146,1.0,0.0,30.247826,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27814351779617,41.218181246567205]}"
