system:index,AvGTemp,AvGppt,CWD,Conifer2019,ConiferProb2019,NLCD2016,P1984,P1985,P1986,P1987,P1988,P1989,P1990,P1991,P1992,P1993,P1994,P1995,P1996,P1997,P1998,P1999,P2000,P2001,P2002,P2003,P2004,P2005,P2006,P2007,P2008,P2009,P2010,P2011,P2012,P2013,P2014,P2015,P2016,P2017,P2018,P2019,PatchID,SAP_SC,SAP_burn,SUID,SolarLoad,aspect,burnSev,eastness,elevation,forestType,landfire2016,latitude_209564535,longitude_209564535,northness,plantedEver,plantedFirst6Yrs,slope,wilderness,.geo
23,12.44874954,1235.050011,602.7800293,1,100,42,100,96,99,100,50,51,31,36,32,26,27.99999619,91,72,42,12,18,31,60.00000381,70,39.99999619,45.99999619,62,42,45.99999619,41.00000381,71,89,98,90,94,89,92,92,93,94,99,-1973525326,0.01808318264,0.3110307414,505544340065000000,116,319.4821252,4,-0.6496852431,865,551,7043,,,0.7602033182,1,1,30.80475148,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27778219755471,41.217371409208866]}"
24,12.44874954,1235.050011,602.7800293,1,100,42,97,95,99,99,61,47.00000381,27.99999619,41.00000381,31,36,23.00000191,96,95,29.00000191,31,26,48,73,90,50,70,87,52.99999619,67,41.00000381,90,62,95,90,98,91,94,100,93,98,100,-1973525326,0.01808318264,0.3128390597,505544340065000000,131,311.8442064,4,-0.7449615171,876,551,7043,,,0.6671074412,1,1,31.24268856,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27742431169149,41.217372271941116]}"
25,12.44874954,1235.050011,602.7800293,1,100,42,100,99,99,100,42,49,26.99999809,31,30.00000191,17.00000191,26,91,80,48,16.00000191,25,29.00000191,63,71,44,45.99999619,58.99999619,51,76,39.99999619,95,85,96,82,98,93,92,97,94,97,100,-1973525326,0.01808318264,0.3146473779,505544340065000000,131,303.0093285,3,-0.8385818822,899,551,7043,,,0.5447755748,1,0,29.44806413,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2770664258127,41.21737313356115]}"
26,12.44874954,1235.050011,602.7800293,1,99,42,100,99,98,100,36,50,29.00000191,36,32,24,27.99999619,99,73,45.99999619,19,19.99999809,37,63,62,52.99999619,57,72,50,50,39.99999619,87,93,99,84,97,96,93,100,94,87,100,-1973525326,0.01808318264,0.3164556962,505544340065000000,138,308.4496925,4,-0.7831544429,908,552,7043,,,0.6218272418,1,0,26.31787929,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27670853991842,41.21737399406898]}"
27,12.44874954,1235.050011,602.7800293,1,99,52,99,96,98,98,42,47.00000381,24,32,26.99999809,10.00000191,13.99999809,60.00000381,39.99999619,29.00000191,8.999997139,12,25,45.99999619,23.00000191,23.00000191,26,29.00000191,26.99999809,22.00000381,23.00000191,38,62,72,43,49,38,58.99999619,98,87,99,99,-1973525326,0.02169981917,0.3182640145,505544340065000000,138,312.5945712,4,-0.7361612177,917,551,7030,,,0.6768062216,1,0,27.75304823,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2763506540086,41.21737485346461]}"
28,12.44874954,1235.050011,602.7800293,0,6.999999046,52,99,96,99,100,49,37,25,25,24,6.999999046,6.999999046,8.999997139,6.999999046,12,6.999999046,6.999999046,6.999999046,12,6.999999046,6.999999046,7.999998093,8.999997139,7.999998093,8.999997139,6,7.999998093,7.999998093,8.999997139,6.999999046,7.999998093,7.999998093,7.999998093,6.999999046,7.999998093,7.999998093,6.999999046,-1279025289,0.0253164557,0.3128390597,505544340065000000,138,319.07451,4,-0.6550770158,926,551,7027,,,0.7555621108,1,0,26.23271835,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27599276808331,41.217375711748026]}"
29,12.44874954,1235.050011,609.2932739,0,31,21,71,55,79,78,16.00000191,6.999999046,8.999997139,8.999997139,8.999997139,6,6,6,0,0.9999990463,0,0,0,7.999998093,6,0,6,0.9999990463,4.000001907,1.999998093,6.999999046,33,6.999999046,16.00000191,18,36,25,72,27.99999619,29.00000191,19.99999809,31,-1279025289,0.05063291139,0.3182640145,505544340091000000,159,121.4321733,4,0.8532581004,866,551,7043,,,-0.5214888437,1,1,21.97599099,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27277179406204,41.21738338624924]}"
30,12.44874954,1235.050011,595.5133057,1,100,42,100,99,98,100,43,62,67,69,55,57,56,96,93,96,84,27.99999619,57,90,90,94,80,92,58.99999619,92,43,92,91,98,98,97,92,95,100,91,99,100,1448181264,0.01084990958,0.1735985533,505544340065000000,110,327.1076456,4,-0.5430624059,841,551,7043,,,0.8396923385,1,0,35.50003574,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28064643899148,41.21763470100083]}"
31,12.44874954,1235.050011,595.5133057,1,95,42,100,98,99,100,55,56,60.00000381,62,42,55,56,97,96,99,91,45,93,96,92,92,90,88,70,90,39,98,85,97,90,97,97,92,100,90,88,100,1448181264,0.01446654611,0.1862567812,505544340065000000,110,329.9083009,4,-0.5013853898,850,551,7043,,,0.8652240697,1,0,36.11689198,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2802885517804,41.217635572639004]}"
32,12.44874954,1235.050011,595.5133057,1,88,42,100,98,98,100,50,37,50,47.00000381,32,16.00000191,33,66,65,79,26.99999809,39.99999619,35.00000381,68,75,71,55,95,56,83,38,88,84,97,88,97,99,95,100,93,100,95,1448181264,0.01627486438,0.2043399638,505544340065000000,74,342.7170768,4,-0.2970902979,858,551,7043,,,0.9548493886,1,0,38.54788205,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27993066455362,41.21763644316495]}"
